Month,Region,Category,Total_Sales_Amount,Total_Qty_Sold,Avg_Unit_Cost,Avg_Unit_Price,Avg_Discount_Sales,Num_Transactions,New_Customers,Returning_Customers,Online_Txn,Retail_Txn,Inventory_Level,Units_Sold_Online,Units_Ordered,Demand_Forecast,Avg_Price,Avg_Discount_Inv,Weather_Mode,Holiday_Days,Competitor_Pricing,Seasonality,COGS,Gross_Profit,Profit_Margin_Pct,Avg_Revenue_Per_Txn,Transport_Cost_Est,Net_Profit,Net_Profit_Margin,Spot_Sales_Ratio,Online_Sales_Ratio,Price_vs_Competitor,Fulfillment_Rate,Inventory_Coverage,Year,MonthNum,Quarter,Recommended_Price,Recommended_Order_Qty,Sales_Growth_MoM,Profit_Growth_MoM
2022-11-01,East,Clothing,520905.18,462,700.8225,1266.7150000000001,0.1652,4,1,3,1,3,237.0,330,447,389.0,1187.42,0.0963,Cloudy,1,1279.59,Winter,2803.29,518101.89,99.46184255645146,130226.295,56.0658,518045.82420000003,99.45107940758048,0.75,0.25,-12.874999999999773,0.8483290488431876,15.38961038961039,2022,11,4,1168.0375000000001,447.0,112.26242807792026,112.73257902996683
2022-12-01,East,Clothing,897267.7300000001,505,1160.3725,2169.69,0.18175,4,1,3,1,3,426.0,382,519,452.0,1307.97,0.1027,Cloudy,1,1223.09,Winter,4641.49,892626.2400000001,99.48270846651312,224316.93250000002,92.82979999999999,892533.4102000002,99.47236263584338,0.75,0.25,946.6000000000001,0.8451327433628318,25.306930693069308,2022,12,4,1933.9541666666667,520.0,72.25164280378247,72.2885058630302
2023-01-01,East,Clothing,164499.37,134,916.7049999999999,1544.665,0.19519999999999998,2,1,1,1,1,321.0,238,289,252.0,2581.99,0.0701,Cloudy,1,2808.0,Spring,1833.4099999999999,162665.96,98.88546077714462,82249.685,36.6682,162629.2918,98.86316999268752,0.5,0.5,-1263.335,0.9444444444444444,71.86567164179104,2023,1,1,1527.8416666666667,290.0,-81.66663477354747,-81.77891270607363
2023-02-01,East,Clothing,322377.76,191,1041.9166666666667,1875.7300000000002,0.07933333333333333,3,1,2,1,2,288.0,138,173,151.0,1550.7,0.2874,Cloudy,0,1575.83,Spring,3125.75,319252.01,99.03040768072835,107459.25333333334,62.515,319189.495,99.01101583434291,0.6666666666666666,0.3333333333333333,299.9000000000003,0.9139072847682119,45.23560209424084,2023,2,1,1736.527777777778,174.0,95.97507273128159,96.26814546578501
2023-03-01,East,Clothing,174743.63999999998,180,726.425,1401.435,0.28075,2,0,2,2,0,388.0,289,317,276.0,1442.24,0.0844,Cloudy,0,1451.01,Spring,1452.85,173290.78999999998,99.16858204395879,87371.81999999999,29.057,173261.73299999998,99.15195368483796,0.0,1.0,-49.575000000000045,1.0,64.66666666666667,2023,3,1,1210.7083333333333,317.0,-45.79537992943435,-45.71822202356629
2023-04-01,East,Clothing,322343.32,372,617.9325,1045.85,0.177525,4,0,4,1,3,319.0,304,362,315.0,1631.35,0.1704,Windy,0,1532.43,Summer,2471.73,319871.59,99.233199558781,80585.83,49.4346,319822.15540000005,99.21786354995662,0.75,0.25,-486.58000000000015,0.9650793650793651,25.725806451612904,2023,4,2,1029.8875,362.0,84.4664103368798,84.58903178580124
2023-05-01,East,Clothing,295514.04,229,914.9499999999999,1616.17,0.18389999999999998,2,1,1,2,0,193.0,324,445,387.0,1650.33,0.2691,Cloudy,0,1596.21,Summer,1829.8999999999999,293684.13999999996,99.38077392194292,147757.02,36.598,293647.54199999996,99.36838940038179,0.0,1.0,19.960000000000036,0.8372093023255814,25.283842794759824,2023,5,2,1524.9166666666665,445.0,-8.323200245005857,-8.184115127128589
2023-06-01,East,Clothing,214774.41,226,664.925,1290.62,0.26135,2,2,0,1,1,421.0,316,385,335.0,1761.77,0.0852,Sunny,0,1673.59,Summer,1329.85,213444.56,99.38081543327252,107387.205,26.596999999999998,213417.963,99.36843174193797,0.5,0.5,-382.97,0.9432835820895522,55.88495575221239,2023,6,2,1108.2083333333333,385.0,-27.321757707349537,-27.321726738649144
2023-07-01,East,Clothing,473721.86,416,866.4525,1465.8375,0.237925,4,3,1,1,3,345.0,470,572,498.0,2649.33,0.1042,Rainy,0,2363.08,Autumn,3465.81,470256.05,99.2683871502151,118430.465,69.3162,470186.7338,99.25375489321941,0.75,0.25,-897.2424999999998,0.9437751004016064,24.87980769230769,2023,7,3,1444.0875,573.0,120.56718023343653,120.31263310295958
2023-08-01,East,Clothing,641474.8300000001,368,1236.6575,2262.39,0.22294999999999998,4,2,2,0,4,338.0,253,376,327.0,2645.29,0.2819,Cloudy,1,2475.84,Autumn,4946.63,636528.2000000001,99.22886608037295,160368.70750000002,98.93260000000001,636429.2674000001,99.2134434019804,1.0,0.0,-213.45000000000027,0.7737003058103975,27.554347826086953,2023,8,3,2061.0958333333333,376.0,35.41170128817785,35.35670440049326
2023-09-01,East,Clothing,226326.07,246,606.51,1111.8033333333333,0.18159999999999998,3,0,3,0,3,281.0,278,324,282.0,1966.36,0.2678,Rainy,0,2123.71,Autumn,1819.53,224506.54,99.19605814743304,75442.02333333333,36.3906,224470.1494,99.1799793103817,1.0,0.0,-1011.9066666666668,0.9858156028368794,34.268292682926834,2023,9,3,1010.85,324.0,-64.717856505765,-64.72975695837712
2023-10-01,East,Clothing,395202.56,337,762.9649999999999,1366.75,0.214225,4,0,4,0,4,301.0,238,269,234.0,2553.78,0.093,Cloudy,1,2615.83,Winter,3051.8599999999997,392150.7,99.22777322090222,98800.64,61.03719999999999,392089.6628,99.21232868532024,1.0,0.0,-1249.08,1.0,26.795252225519288,2023,10,4,1271.6083333333333,269.0,74.61645492275812,74.67340929207758
2023-11-01,East,Clothing,498943.7,316,1042.8733333333332,1947.7700000000002,0.2138,3,2,1,1,2,405.0,392,470,409.0,1318.86,0.313,Rainy,1,1436.76,Winter,3128.62,495815.08,99.37295129690985,166314.56666666668,62.5724,495752.5076,99.36041032284805,0.6666666666666666,0.3333333333333333,511.0100000000002,0.9584352078239609,38.449367088607595,2023,11,4,1738.122222222222,470.0,26.250118420285553,26.43855593124298
2023-12-01,East,Clothing,195518.06,218,549.365,973.865,0.17475,2,0,2,1,1,406.0,396,516,449.0,1060.63,0.3334,Sunny,1,1060.0,Winter,1098.73,194419.33,99.43804168269672,97759.03,21.974600000000002,194397.3554,99.42680251635066,0.5,0.5,-86.13499999999999,0.8819599109131403,55.87155963302752,2023,12,4,915.6083333333333,516.0,-60.81360281731185,-60.78741863735557
2024-01-01,East,Clothing,227298.78999999998,178,856.7550000000001,1492.905,0.16720000000000002,2,0,2,1,1,392.0,217,246,214.0,1791.67,0.1428,Cloudy,1,1682.81,Spring,1713.5100000000002,225585.27999999997,99.24614204941433,113649.39499999999,34.2702,225551.00979999997,99.23106489040262,0.5,0.5,-189.90499999999997,1.0,66.06741573033707,2024,1,1,1427.9250000000002,246.0,16.254626298972074,16.02576039982484
2024-02-01,East,Clothing,173095.21,134,900.025,1521.895,0.1384,2,0,2,2,0,267.0,201,282,246.0,2471.55,0.1434,Sunny,0,2359.47,Spring,1800.05,171295.16,98.96008098664313,86547.605,36.001,171259.159,98.93928260637601,0.0,1.0,-837.5749999999998,0.8170731707317073,59.776119402985074,2024,2,1,1500.0416666666667,283.0,-23.846840539714265,-24.070763792253246
2024-03-01,East,Clothing,285362.7,271,795.9666666666667,1336.7866666666666,0.19836666666666666,3,1,2,1,2,424.0,185,265,231.0,1213.87,0.0867,Cloudy,0,1306.36,Spring,2387.9,282974.8,99.16320528226008,95120.90000000001,47.758,282927.042,99.14646938790528,0.6666666666666666,0.3333333333333333,30.426666666666733,0.8008658008658008,46.93726937269373,2024,3,1,1326.6111111111113,266.0,64.85880805136088,65.20403559846979
2024-04-01,East,Clothing,84378.91,190,353.32500000000005,589.825,0.24225,2,1,1,0,2,257.0,239,282,246.0,1000.11,0.153,Windy,0,905.0,Summer,706.6500000000001,83672.26000000001,99.16252769797572,42189.455,14.133000000000003,83658.12700000001,99.14577825193524,1.0,0.0,-315.17499999999995,0.9715447154471545,40.578947368421055,2024,4,2,588.8750000000001,283.0,-70.4309953613419,-70.43120148267764
2024-05-01,East,Clothing,284296.05000000005,210,857.12,1595.33,0.15025,2,0,2,1,1,321.0,369,470,409.0,1818.86,0.1982,Sunny,0,1836.37,Summer,1714.24,282581.81000000006,99.39702292733227,142148.02500000002,34.284800000000004,282547.52520000003,99.3849633858789,0.5,0.5,-241.03999999999996,0.902200488997555,45.857142857142854,2024,5,2,1428.5333333333333,470.0,236.92785318037414,237.74067784233327
2024-06-01,East,Clothing,615277.5,393,948.935,1743.4275,0.127725,4,0,4,0,4,268.0,289,423,368.0,1157.0,0.2777,Rainy,0,1087.14,Summer,3795.74,611481.76,99.38308486820986,153819.375,75.9148,611405.8452,99.37074656557407,1.0,0.0,656.2874999999999,0.7853260869565217,20.458015267175572,2024,6,2,1581.5583333333334,423.0,116.42140297060051,116.39044432161243
2024-07-01,East,Clothing,269083.26,328,579.2933333333334,1016.8266666666667,0.17926666666666666,3,2,1,0,3,271.0,346,451,393.0,2445.7,0.0787,Windy,0,2295.66,Autumn,1737.88,267345.38,99.35414785743268,89694.42,34.757600000000004,267310.6224,99.34123081458132,1.0,0.0,-1278.833333333333,0.8804071246819338,24.786585365853657,2024,7,3,965.488888888889,452.0,-56.26635786291552,-56.27934791618509
2024-08-01,East,Clothing,341669.01,172,1140.0749999999998,2170.6800000000003,0.08405,2,1,1,2,0,361.0,368,427,372.0,2251.77,0.0667,Cloudy,1,2031.32,Autumn,2280.1499999999996,339388.86,99.33264360147851,170834.505,45.602999999999994,339343.257,99.31929647350807,0.0,1.0,139.36000000000035,0.989247311827957,62.96511627906977,2024,8,3,1900.1249999999998,428.0,26.97520090993397,26.94716504464658
2024-09-01,East,Clothing,375430.27,242,1084.4533333333334,1938.5199999999998,0.24113333333333334,3,0,3,1,2,429.0,227,300,261.0,909.49,0.2096,Rainy,0,988.16,Autumn,3253.36,372176.91000000003,99.13343162233562,125143.42333333334,65.0672,372111.84280000004,99.11610025478234,0.6666666666666666,0.3333333333333333,950.3599999999998,0.8697318007662835,53.18181818181818,2024,9,3,1807.4222222222224,300.0,9.881276619146707,9.656471765401854
2024-10-01,East,Clothing,331473.95999999996,278,874.1233333333333,1641.2433333333336,0.21463333333333334,3,2,1,1,2,300.0,287,346,301.0,1290.12,0.1543,Rainy,1,1193.22,Winter,2622.37,328851.58999999997,99.20887601547946,110491.31999999999,52.4474,328799.14259999996,99.19305353578906,0.6666666666666666,0.3333333333333333,448.02333333333354,0.9534883720930233,32.374100719424455,2024,10,4,1456.8722222222223,346.0,-11.708248778128638,-11.639699471559005
2024-11-01,East,Clothing,289239.45,257,724.16,1363.005,0.20195000000000002,2,1,1,0,2,287.0,308,435,379.0,2393.88,0.3127,Windy,1,2220.98,Winter,1448.32,287791.13,99.4992660925057,144619.725,28.9664,287762.1636,99.48925141435583,1.0,0.0,-857.9749999999999,0.8126649076517151,33.50194552529183,2024,11,4,1206.9333333333334,436.0,-12.741426204338936,-12.480865575103827
2024-12-01,East,Clothing,361792.85,235,1031.645,2008.1350000000002,0.16554999999999997,2,2,0,2,0,245.0,440,491,427.0,2332.63,0.2708,Windy,1,2421.66,Winter,2063.29,359729.56,99.42970404196767,180896.425,41.2658,359688.2942,99.41829812280703,0.0,1.0,-413.52499999999964,1.0,31.27659574468085,2024,12,4,1719.4083333333333,491.0,25.08419926811505,24.994992288138306
2022-01-01,East,Electronics,1617897.02,229,6107.566666666667,8383.863333333333,0.1388,3,2,1,1,2,428.0,191,249,217.0,9304.25,0.1938,Sunny,1,10344.82,Spring,18322.7,1599574.32,98.86749899570246,539299.0066666667,366.454,1599207.8660000002,98.84484897561651,0.6666666666666666,0.3333333333333333,-1960.956666666667,0.880184331797235,56.069868995633186,2022,1,1,10179.277777777777,250.0,,
2022-02-01,East,Electronics,3078669.43,315,7436.5675,10304.4825,0.0871,4,1,3,4,0,344.0,295,372,324.0,9763.12,0.0704,Sunny,0,9355.01,Spring,29746.27,3048923.16,99.03379460912112,769667.3575,594.9254,3048328.2346,99.01447050130355,0.0,1.0,949.4724999999999,0.9104938271604939,32.76190476190476,2022,2,1,12394.279166666667,373.0,90.28834295028247,90.61488499456891
2022-03-01,East,Electronics,1218770.68,131,7257.275,10000.435,0.0868,2,0,2,0,2,299.0,163,244,213.0,19045.33,0.0678,Sunny,0,19656.61,Spring,14514.55,1204256.13,98.80908277183038,609385.34,290.291,1203965.839,98.78526442726698,1.0,0.0,-9656.175000000001,0.7652582159624414,68.4732824427481,2022,3,1,12095.458333333334,245.0,-60.41242141414319,-60.50406169078496
2022-04-01,East,Electronics,1256524.8599999999,154,6085.17,8457.295,0.058550000000000005,2,0,2,2,0,453.0,197,242,211.0,10739.75,0.0906,Sunny,0,11979.14,Summer,12170.34,1244354.5199999998,99.03142863405026,628262.4299999999,243.4068,1244111.1131999998,99.01205720673126,0.0,1.0,-3521.8449999999993,0.933649289099526,88.24675324675324,2022,4,2,10141.95,243.0,3.0977263089394302,3.3344197069033132
2022-05-01,East,Electronics,3217375.02,216,11716.48,16394.265,0.0983,2,0,2,0,2,442.0,250,368,320.0,9126.96,0.1132,Rainy,0,10145.84,Summer,23432.96,3193942.06,99.27167458395945,1608687.51,468.6592,3193473.4008,99.25710807563863,1.0,0.0,6248.424999999999,0.78125,61.388888888888886,2022,5,2,19527.466666666667,368.0,156.05343136625248,156.68715333520424
2022-06-01,East,Electronics,2167887.6100000003,209,8011.93,11124.890000000001,0.11435000000000001,2,0,2,2,0,308.0,227,332,289.0,15552.82,0.1869,Windy,0,14648.23,Summer,16023.86,2151863.7500000005,99.26085374877898,1083943.8050000002,320.47720000000004,2151543.2728000004,99.24607082375456,0.0,1.0,-3523.3399999999983,0.7854671280276817,44.21052631578947,2022,6,2,13353.216666666667,332.0,-32.61936838186801,-32.62686101406026
2022-07-01,East,Electronics,4056020.41,291,10348.913333333332,15391.246666666668,0.11723333333333334,3,0,3,1,2,207.0,313,395,344.0,7457.07,0.0327,Windy,0,6914.45,Autumn,31046.739999999998,4024973.67,99.23455168214994,1352006.8033333335,620.9348,4024352.7352,99.21924271579293,0.6666666666666666,0.3333333333333333,8476.796666666669,0.9098837209302325,21.340206185567013,2022,7,3,17248.188888888886,396.0,87.09551137662525,87.04493588747304
2022-08-01,East,Electronics,2539748.17,280,7748.436666666667,10503.996666666668,0.10586666666666666,3,3,0,1,2,321.0,292,364,317.0,6840.31,0.1615,Cloudy,1,6582.35,Autumn,23245.31,2516502.86,99.0847395708528,846582.7233333333,464.9062,2516037.9538,99.06643436226986,0.6666666666666666,0.3333333333333333,3921.6466666666674,0.9211356466876972,34.39285714285714,2022,8,3,12914.061111111112,365.0,-37.38324975539263,-37.4796863159422
2022-09-01,East,Electronics,1382251.3599999999,157,7112.195,9886.91,0.1537,2,1,1,0,2,381.0,313,407,354.0,6017.79,0.1553,Sunny,0,5443.55,Autumn,14224.39,1368026.97,98.97092595372814,691125.6799999999,284.4878,1367742.4822,98.9503444728027,1.0,0.0,4443.36,0.884180790960452,72.80254777070064,2022,9,3,11853.658333333333,407.0,-45.57525914075175,-45.63903616261895
2022-10-01,East,Electronics,4429226.970000001,425,8498.2325,12191.4775,0.15159999999999998,4,1,3,3,1,419.0,274,416,362.0,8196.47,0.1435,Sunny,1,8216.42,Winter,33992.93,4395234.040000001,99.23253131460093,1107306.7425000002,679.8586,4394554.181400001,99.21718194089296,0.25,0.75,3975.057500000001,0.7569060773480663,29.576470588235296,2022,10,4,14163.720833333335,416.0,220.43571076681746,221.29982351147018
2022-11-01,East,Electronics,1012481.44,253,3325.58,4788.82,0.13455,2,1,1,2,0,243.0,430,500,435.0,13342.67,0.0652,Cloudy,1,13594.68,Winter,6651.16,1005830.2799999999,99.34308326679054,506240.72,133.0232,1005697.2567999999,99.32994493212635,0.0,1.0,-8805.86,0.9885057471264368,28.814229249011856,2022,11,4,5542.633333333333,500.0,-77.14089960036526,-77.11491961899969
2022-12-01,East,Electronics,6368526.61,586,8753.785,12869.4825,0.150925,4,2,2,1,3,346.0,565,631,549.0,12438.51,0.0367,Cloudy,1,13221.49,Winter,35015.14,6333511.470000001,99.45018460086172,1592131.6525,700.3028,6332811.167200001,99.43918829287894,0.75,0.25,-352.0074999999997,1.0,17.713310580204777,2022,12,4,14589.641666666666,631.0,529.001812615943,529.6935906288734
2023-01-01,East,Electronics,2202362.75,206,10128.013333333334,14337.096666666666,0.13283333333333333,3,2,1,3,0,418.0,247,327,285.0,12756.51,0.1144,Cloudy,1,14149.61,Spring,30384.04,2171978.71,98.620388943647,734120.9166666666,607.6808,2171371.0291999998,98.59279672251992,0.0,1.0,187.48666666666577,0.8666666666666667,60.87378640776699,2023,1,1,16880.022222222226,328.0,-65.41801762213254,-65.71236735359578
2023-02-01,East,Electronics,1749916.67,295,5022.475,6977.915,0.1267,4,1,3,1,3,363.0,242,271,236.0,16084.46,0.1949,Cloudy,0,17517.16,Spring,20089.9,1729826.77,98.85195104747474,437479.1675,401.79800000000006,1729424.972,98.82899006842423,0.75,0.25,-10539.244999999999,1.0,36.91525423728813,2023,2,1,8370.791666666668,271.0,-20.543667477122018,-20.353318307043377
2023-03-01,East,Electronics,1324021.65,139,6847.415,10529.805,0.0586,2,1,1,0,2,249.0,184,217,189.0,13378.5,0.08,Cloudy,0,14293.89,Spring,13694.83,1310326.8199999998,98.96566419438835,662010.825,273.8966,1310052.9233999997,98.94497747827612,1.0,0.0,-3764.084999999999,0.9735449735449735,53.7410071942446,2023,3,1,11412.358333333334,217.0,-24.338017192555807,-24.2492189825972
2023-04-01,East,Electronics,4055042.3299999996,340,8681.17,12317.9375,0.047625,4,3,1,1,3,326.0,320,365,318.0,12543.93,0.0483,Windy,0,13843.84,Summer,34724.68,4020317.6499999994,99.1436666457684,1013760.5824999999,694.4936,4019623.1563999993,99.12653997868377,0.75,0.25,-1525.9025000000001,1.0,28.76470588235294,2023,4,2,14468.616666666667,366.0,206.26707123709042,206.82906656685378
2023-05-01,East,Electronics,2166127.79,273,6710.466666666667,9027.913333333332,0.10366666666666667,3,3,0,1,2,351.0,308,420,366.0,7834.53,0.074,Cloudy,0,8727.08,Summer,20131.4,2145996.39,99.0706273151133,722042.5966666667,402.62800000000004,2145593.762,99.05203986141557,0.6666666666666666,0.3333333333333333,300.8333333333321,0.8415300546448088,38.57142857142857,2023,5,2,11184.111111111113,421.0,-46.58186983710229,-46.62201707680459
2023-06-01,East,Electronics,1025077.33,146,5763.535,8086.05,0.1182,2,0,2,0,2,254.0,215,323,281.0,12469.08,0.1023,Sunny,0,13452.46,Summer,11527.07,1013550.26,98.87549264210146,512538.665,230.5414,1013319.7186,98.85300249494348,1.0,0.0,-5366.409999999999,0.7651245551601423,52.19178082191781,2023,6,2,9605.891666666666,323.0,-52.67696879508665,-52.77206074390144
2023-07-01,East,Electronics,1210249.52,181,5954.2,7921.599999999999,0.13995000000000002,2,0,2,0,2,349.0,306,341,297.0,13133.25,0.1802,Rainy,0,14617.85,Autumn,11908.4,1198341.12,99.01603761842435,605124.76,238.168,1198102.952,98.99635837079282,1.0,0.0,-6696.250000000001,1.0,57.84530386740332,2023,7,3,9923.666666666666,342.0,18.064216677194487,18.235432510412018
2023-08-01,East,Electronics,2718203.29,251,9105.22,12365.6,0.12090000000000001,3,3,0,1,2,312.0,219,243,212.0,7691.19,0.18,Cloudy,1,7745.79,Autumn,27315.659999999996,2690887.63,98.99508399167598,906067.7633333333,546.3131999999999,2690341.3167999997,98.9749856715095,0.6666666666666666,0.3333333333333333,4619.81,1.0,37.29083665338645,2023,8,3,15175.366666666667,244.0,124.5985844307544,124.55009499050126
2023-09-01,East,Electronics,2266287.35,255,7962.196666666667,10912.16,0.15966666666666665,3,1,2,3,0,385.0,199,284,247.0,14207.34,0.1934,Rainy,0,14389.63,Autumn,23886.59,2242400.7600000002,98.94600347127208,755429.1166666667,477.7318,2241923.0282,98.92492354069752,0.0,1.0,-3477.4699999999993,0.805668016194332,45.294117647058826,2023,9,3,13270.327777777778,284.0,-16.625538702809827,-16.66770999649094
2023-10-01,East,Electronics,2898059.7800000003,319,7251.983333333333,9993.916666666666,0.11826666666666667,3,1,2,1,2,425.0,293,340,296.0,9634.25,0.1643,Cloudy,1,9512.37,Winter,21755.949999999997,2876303.83,99.24929257325395,966019.9266666668,435.11899999999997,2875868.711,99.23427842471904,0.6666666666666666,0.3333333333333333,481.54666666666526,0.9898648648648649,39.96865203761756,2023,10,4,12086.638888888889,340.0,27.87697817754664,28.27687100876892
2023-11-01,East,Electronics,4016300.23,381,8000.126666666666,11636.529999999999,0.08203333333333333,3,2,1,1,2,353.0,478,533,464.0,9460.96,0.1241,Rainy,1,9244.16,Winter,24000.379999999997,3992299.85,99.40242564983744,1338766.7433333334,480.00759999999997,3991819.8424,99.39047416283418,0.6666666666666666,0.3333333333333333,2392.369999999999,1.0,27.79527559055118,2023,11,4,13333.544444444444,534.0,38.58583103485876,38.80396650693974
2023-12-01,East,Electronics,3947483.98,544,5546.4025,7822.8075,0.08277499999999999,4,1,3,1,3,268.0,528,616,536.0,18662.77,0.0987,Sunny,1,16574.72,Winter,22185.61,3925298.37,99.43798099973543,986870.995,443.7122,3924854.6578,99.42674061973015,0.75,0.25,-8751.912500000002,0.9850746268656716,14.779411764705882,2023,12,4,9244.004166666668,616.0,-1.7134239488864056,-1.6775602918927879
2024-01-01,East,Electronics,2610498.0,232,8829.64,12461.213333333333,0.08553333333333334,3,0,3,2,1,300.0,242,279,243.0,20821.01,0.1207,Cloudy,1,23318.61,Spring,26488.92,2584009.08,98.98529246143839,870166.0,529.7783999999999,2583479.3016,98.96499831066716,0.3333333333333333,0.6666666666666666,-10857.396666666667,0.9958847736625515,38.793103448275865,2024,1,1,14716.066666666666,279.0,-33.86931997124913,-34.176433859384794
2024-02-01,East,Electronics,2857404.49,295,8083.065,11387.61,0.134975,4,1,3,3,1,312.0,173,251,219.0,19286.82,0.0474,Sunny,0,21133.83,Spring,32332.26,2825072.2300000004,98.86847451548591,714351.1225,646.6451999999999,2824425.5848000003,98.84584400579563,0.25,0.75,-9746.220000000001,0.7899543378995434,31.72881355932203,2024,2,1,13471.775,252.0,9.45821410320944,9.326425919138481
2024-03-01,East,Electronics,2605764.46,301,7328.4325,9555.475,0.08595,4,1,3,0,4,312.0,177,224,195.0,19962.06,0.04,Cloudy,0,18581.6,Spring,29313.73,2576450.73,98.87504298834439,651441.115,586.2746,2575864.4554,98.85254384811127,1.0,0.0,-9026.124999999998,0.9076923076923077,31.096345514950166,2024,3,1,12214.054166666667,224.0,-8.806594616921048,-8.800413462392608
2024-04-01,East,Electronics,1287152.6500000001,185,5942.174999999999,8668.45,0.15805,2,1,1,1,1,331.0,339,401,349.0,20358.5,0.0405,Windy,0,21506.7,Summer,11884.349999999999,1275268.3,99.07669459407164,643576.3250000001,237.68699999999998,1275030.6130000001,99.05822848595308,0.5,0.5,-12838.25,0.9713467048710601,53.67567567567567,2024,4,2,9903.625,401.0,-50.603645503707575,-50.50086543462926
