Product_ID,Sale_Date,Region,Product_Category,Quantity_Sold,Unit_Cost,Unit_Price,Discount,Sales_Amount,Sales_Channel,Customer_Type
P010155,2022-04-15,East,Furniture,111,11560.79,18845.27,0.1778,1719919.51,Retail,Returning
P010156,2022-04-15,East,Furniture,117,8190.93,13916.22,0.2307,1252616.8,Online,Returning
P010157,2022-04-15,East,Furniture,112,1963.74,3097.52,0.2499,260236.86,Retail,Returning
P010158,2022-04-15,North,Clothing,75,340.74,637.54,0.1392,41159.34,Retail,Returning
P010159,2022-04-15,North,Clothing,86,682.92,1310.12,0.0611,105786.01,Retail,New
P010160,2022-04-15,North,Clothing,94,444.68,732.7,0.2589,51043.37,Online,New
P010161,2022-04-15,North,Clothing,62,947.39,1804.46,0.1456,95584.17,Retail,Returning
P010162,2022-04-15,North,Electronics,61,13396.65,18445.87,0.1085,1003080.01,Retail,New
P010163,2022-04-15,North,Electronics,50,2123.31,2706.69,0.0451,129237.52,Online,Returning
P010164,2022-04-15,North,Electronics,64,9549.84,12759.28,0.0977,736805.59,Retail,Returning
P010165,2022-04-15,North,Food,66,99.71,154.9,0.0573,9637.34,Online,New
P010166,2022-04-15,North,Food,46,68.94,99.67,0.1484,3904.44,Retail,New
P010167,2022-04-15,North,Furniture,65,9878.89,14574.17,0.1677,788445.11,Retail,Returning
P010168,2022-04-15,North,Furniture,82,7808.38,13080.25,0.2478,806755.29,Retail,Returning
P010169,2022-04-15,North,Furniture,84,3920.98,6479.41,0.0741,503957.59,Online,Returning
P010170,2022-04-15,South,Clothing,105,523.73,995.42,0.155,88314.7,Retail,New
P010171,2022-04-15,South,Clothing,75,1279.0,2175.32,0.1171,144036.93,Retail,Returning
P010172,2022-04-15,South,Electronics,72,13181.65,18297.2,0.0965,1190270.68,Online,Returning
P010173,2022-04-15,South,Electronics,49,2460.49,3326.91,0.1884,132310.91,Retail,New
P010174,2022-04-15,South,Electronics,76,5284.44,6665.91,0.1483,431493.62,Retail,New
P010175,2022-04-15,South,Food,74,496.16,724.24,0.1348,46370.72,Retail,Returning
P010176,2022-04-15,South,Food,90,307.09,507.28,0.0907,41514.7,Retail,Returning
P010177,2022-04-15,South,Furniture,101,3152.08,4553.88,0.1168,406219.97,Online,Returning
P010178,2022-04-15,South,Furniture,108,2611.26,4208.53,0.0878,414594.22,Online,Returning
P010179,2022-04-15,West,Clothing,70,1192.21,2000.38,0.2954,98664.0,Retail,Returning
P010180,2022-04-15,West,Clothing,72,307.66,530.21,0.2351,29200.77,Online,Returning
P010181,2022-04-15,West,Electronics,66,12137.99,15657.46,0.1594,868695.49,Retail,Returning
P010182,2022-04-15,West,Electronics,58,6444.34,9261.38,0.1884,435934.96,Online,Returning
P010183,2022-04-15,West,Food,74,368.86,587.05,0.0275,42245.96,Online,Returning
P010184,2022-04-15,West,Food,88,495.57,820.83,0.078,66600.33,Retail,New
P010185,2022-04-15,West,Food,97,419.68,654.28,0.1264,55440.22,Online,New
P010186,2022-04-15,West,Furniture,60,4373.08,7452.2,0.1352,386663.71,Retail,Returning
P010187,2022-04-15,West,Furniture,76,3818.08,5423.73,0.1861,335492.44,Retail,New
P010188,2022-04-15,West,Furniture,77,11484.07,16558.05,0.1365,1100978.55,Retail,Returning
P010189,2022-05-15,East,Clothing,106,830.76,1439.13,0.1462,130241.38,Retail,Returning
P010190,2022-05-15,East,Clothing,79,540.43,1044.4,0.2645,60685.98,Retail,New
P010191,2022-05-15,East,Electronics,126,13292.1,19638.38,0.1611,2075911.01,Retail,Returning
P010192,2022-05-15,East,Electronics,90,10140.86,13150.15,0.0355,1141464.01,Retail,Returning
P010193,2022-05-15,East,Food,107,319.25,521.76,0.0522,52914.98,Retail,New
P010194,2022-05-15,East,Food,74,122.37,201.73,0.0624,13996.79,Retail,New
P010195,2022-05-15,East,Food,126,259.07,429.47,0.0714,50248.55,Retail,Returning
P010196,2022-05-15,East,Furniture,105,8797.31,14617.94,0.206,1218743.71,Online,New
P010197,2022-05-15,East,Furniture,97,11859.96,17068.54,0.1498,1407669.09,Retail,Returning
P010198,2022-05-15,East,Furniture,92,7376.31,10312.3,0.1153,839349.92,Retail,New
P010199,2022-05-15,East,Furniture,106,2325.07,3529.57,0.0765,345497.0,Retail,Returning
P010200,2022-05-15,North,Clothing,86,1285.73,2101.94,0.2511,135373.66,Retail,Returning
P010201,2022-05-15,North,Clothing,96,658.6,1288.67,0.3342,82367.07,Retail,Returning
P010202,2022-05-15,North,Clothing,115,1034.71,1856.67,0.2482,160511.92,Retail,Returning
P010203,2022-05-15,North,Electronics,93,8843.23,12953.97,0.0439,1151859.5,Online,New
P010204,2022-05-15,North,Electronics,83,4074.08,6127.82,0.0673,474396.97,Retail,Returning
P010205,2022-05-15,North,Electronics,67,9219.73,13473.49,0.0688,840582.82,Retail,Returning
P010206,2022-05-15,North,Electronics,72,10454.23,13756.43,0.1456,846213.28,Retail,Returning
P010207,2022-05-15,North,Food,58,430.81,707.05,0.1156,36268.35,Retail,Returning
P010208,2022-05-15,North,Food,82,294.49,472.5,0.0964,35007.79,Retail,Returning
P010209,2022-05-15,North,Furniture,85,8377.6,14263.37,0.1068,1082939.19,Retail,Returning
P010210,2022-05-15,North,Furniture,84,6391.03,10571.79,0.0972,801750.72,Retail,Returning
P010211,2022-05-15,North,Furniture,112,5414.91,8414.29,0.1326,817432.08,Online,Returning
P010212,2022-05-15,South,Clothing,109,1344.9,2394.34,0.2044,207626.2,Online,Returning
P010213,2022-05-15,South,Clothing,66,1463.29,2506.52,0.247,124565.49,Retail,Returning
P010214,2022-05-15,South,Clothing,93,457.05,899.99,0.1861,68119.61,Retail,Returning
P010215,2022-05-15,South,Electronics,64,7842.64,11172.68,0.1913,578291.59,Online,Returning
P010216,2022-05-15,South,Electronics,106,6931.66,9909.16,0.0906,955160.83,Retail,Returning
P010217,2022-05-15,South,Food,95,440.72,663.67,0.0345,60870.33,Online,New
P010218,2022-05-15,South,Food,90,289.03,502.82,0.0251,44117.53,Retail,New
P010219,2022-05-15,South,Food,76,278.26,404.39,0.0393,29526.27,Retail,Returning
P010220,2022-05-15,South,Food,90,52.22,91.11,0.1031,7354.38,Retail,Returning
P010221,2022-05-15,South,Furniture,117,2966.34,4165.6,0.1116,432991.42,Retail,New
P010222,2022-05-15,South,Furniture,91,8571.04,14533.68,0.0688,1231598.66,Retail,New
P010223,2022-05-15,South,Furniture,129,8772.57,14516.99,0.2389,1425262.98,Retail,Returning
P010224,2022-05-15,West,Clothing,82,1297.05,2504.94,0.2806,147777.77,Retail,Returning
P010225,2022-05-15,West,Clothing,75,1429.05,2740.44,0.2501,154130.71,Retail,New
P010226,2022-05-15,West,Electronics,87,14992.38,19092.78,0.1961,1335303.41,Retail,Returning
P010227,2022-05-15,West,Electronics,68,11599.84,17469.18,0.0987,1070653.34,Online,Returning
P010228,2022-05-15,West,Electronics,91,12502.0,18420.94,0.1656,1398661.93,Online,Returning
P010229,2022-05-15,West,Food,75,197.77,324.67,0.0993,21933.14,Retail,Returning
P010230,2022-05-15,West,Food,74,296.82,484.08,0.0909,32564.59,Retail,New
P010231,2022-05-15,West,Furniture,85,8004.65,12316.62,0.126,915046.41,Retail,Returning
P010232,2022-05-15,West,Furniture,65,6531.41,9163.23,0.1182,525179.62,Retail,Returning
P010233,2022-05-15,West,Furniture,61,7883.0,12865.96,0.2126,617972.25,Retail,Returning
P010234,2022-06-15,East,Clothing,87,1286.87,2284.34,0.319,135337.45,Online,Returning
P010235,2022-06-15,East,Clothing,128,533.47,896.17,0.2352,87728.92,Retail,Returning
P010236,2022-06-15,East,Electronics,110,12439.34,17551.47,0.0829,1770566.84,Online,Returning
P010237,2022-06-15,East,Electronics,99,3584.52,4698.31,0.1458,397320.77,Online,Returning
P010238,2022-06-15,East,Food,103,182.88,309.77,0.0441,30499.95,Online,Returning
P010239,2022-06-15,East,Food,117,218.08,350.78,0.0346,39620.82,Online,Returning
P010240,2022-06-15,East,Food,89,281.83,459.36,0.1232,35846.94,Retail,Returning
P010241,2022-06-15,East,Food,112,396.48,641.55,0.0532,68028.12,Retail,Returning
P010242,2022-06-15,East,Furniture,121,8509.27,12122.45,0.1748,1210457.94,Online,Returning
P010243,2022-06-15,East,Furniture,69,10559.37,15439.8,0.0691,991684.88,Online,Returning
P010244,2022-06-15,East,Furniture,109,7874.49,12319.45,0.0964,1213386.22,Retail,Returning
P010245,2022-06-15,East,Furniture,62,2932.62,4722.97,0.1309,254503.81,Retail,Returning
P010246,2022-06-15,North,Clothing,66,318.99,555.93,0.2956,25844.74,Retail,Returning
P010247,2022-06-15,North,Clothing,106,617.87,1144.49,0.2287,93568.06,Retail,Returning
P010248,2022-06-15,North,Electronics,79,6614.95,8463.43,0.1182,589553.98,Retail,Returning
P010249,2022-06-15,North,Electronics,52,8928.45,12060.67,0.0866,572836.85,Retail,Returning
P010250,2022-06-15,North,Electronics,65,10603.91,15017.04,0.1542,825581.35,Retail,Returning
P010251,2022-06-15,North,Food,90,335.73,564.55,0.0422,48667.22,Retail,Returning
P010252,2022-06-15,North,Food,90,419.81,604.7,0.0591,51205.73,Retail,New
P010253,2022-06-15,North,Furniture,81,3100.37,5278.9,0.2354,326936.13,Retail,Returning
P010254,2022-06-15,North,Furniture,68,6970.06,11070.62,0.0678,701743.75,Retail,Returning
P010255,2022-06-15,North,Furniture,81,8941.82,12574.07,0.1106,905827.69,Online,Returning
P010256,2022-06-15,North,Furniture,63,2420.25,4079.23,0.1608,215677.17,Retail,Returning
P010257,2022-06-15,South,Clothing,76,494.12,940.33,0.2224,55573.19,Retail,Returning
P010258,2022-06-15,South,Clothing,122,901.38,1589.13,0.2119,152787.69,Retail,Returning
P010259,2022-06-15,South,Clothing,117,469.53,796.48,0.2956,65639.53,Retail,New
P010260,2022-06-15,South,Clothing,111,484.55,823.98,0.3372,60620.92,Retail,Returning
P010261,2022-06-15,South,Electronics,85,13995.84,19543.48,0.1331,1440152.0,Retail,New
P010262,2022-06-15,South,Electronics,74,8533.36,11704.57,0.0549,818601.7,Online,New
P010263,2022-06-15,South,Food,97,297.29,519.98,0.0762,46593.07,Retail,Returning
P010264,2022-06-15,South,Food,108,247.78,365.18,0.1033,35365.22,Retail,New
P010265,2022-06-15,South,Furniture,64,7426.63,10801.68,0.0924,627464.71,Retail,Returning
P010266,2022-06-15,South,Furniture,73,8004.73,11904.47,0.1361,750780.1,Online,Returning
P010267,2022-06-15,South,Furniture,96,7989.54,12713.67,0.0958,1103612.92,Online,New
P010268,2022-06-15,South,Furniture,97,3324.4,5313.31,0.2196,402209.31,Retail,Returning
P010269,2022-06-15,West,Clothing,96,741.31,1311.44,0.2983,88347.92,Retail,Returning
P010270,2022-06-15,West,Clothing,78,313.24,554.37,0.1944,34834.86,Retail,New
P010271,2022-06-15,West,Clothing,92,314.54,536.88,0.3428,32462.65,Retail,Returning
P010272,2022-06-15,West,Clothing,104,885.42,1469.37,0.2144,120052.67,Online,Returning
P010273,2022-06-15,West,Electronics,69,6220.79,9122.54,0.1109,559633.85,Online,Returning
P010274,2022-06-15,West,Electronics,89,7972.81,11798.2,0.1817,859295.32,Retail,New
P010275,2022-06-15,West,Electronics,55,12931.33,16432.61,0.1833,738128.59,Retail,Returning
P010276,2022-06-15,West,Food,84,223.86,354.6,0.0495,28311.69,Retail,New
P010277,2022-06-15,West,Food,101,494.72,782.58,0.0262,76968.06,Online,Returning
P010278,2022-06-15,West,Food,86,346.57,588.01,0.0337,48864.98,Retail,Returning
P010279,2022-06-15,West,Furniture,63,11692.87,19727.26,0.2068,985841.67,Retail,Returning
P010280,2022-06-15,West,Furniture,60,7270.97,12015.03,0.0637,674949.44,Retail,Returning
P010281,2022-06-15,West,Furniture,69,9716.09,14240.21,0.2452,741648.85,Retail,New
P010282,2022-06-15,West,Furniture,71,4181.84,6171.65,0.0639,410208.53,Retail,New
P010283,2022-07-15,East,Clothing,123,1475.96,2710.87,0.2247,258504.82,Retail,Returning
P010284,2022-07-15,East,Clothing,98,1087.77,1812.36,0.1515,150706.39,Retail,Returning
P010285,2022-07-15,East,Clothing,84,1431.69,2443.39,0.0865,187501.62,Online,Returning
P010286,2022-07-15,East,Clothing,111,1074.97,1852.1,0.2948,144980.43,Retail,Returning
P010287,2022-07-15,East,Electronics,101,11470.38,16946.4,0.1415,1469315.45,Online,Returning
P010288,2022-07-15,East,Electronics,95,14800.71,22533.61,0.0373,2060760.65,Retail,Returning
P010289,2022-07-15,East,Electronics,95,4775.65,6693.73,0.1729,525944.31,Retail,Returning
P010290,2022-07-15,East,Food,120,384.54,629.04,0.0338,72935.57,Retail,New
P010291,2022-07-15,East,Food,108,301.12,511.83,0.1164,48842.11,Retail,New
P010292,2022-07-15,East,Furniture,104,5715.69,9391.0,0.0908,887976.42,Retail,New
P010293,2022-07-15,East,Furniture,85,5231.54,8569.13,0.1608,611220.24,Online,Returning
P010294,2022-07-15,East,Furniture,77,1870.77,3042.2,0.0905,213050.93,Retail,New
P010295,2022-07-15,East,Furniture,85,4708.84,7848.52,0.2493,500832.33,Retail,Returning
P010296,2022-07-15,North,Clothing,124,1363.43,2499.85,0.1675,258072.88,Online,Returning
P010297,2022-07-15,North,Clothing,87,726.59,1384.82,0.0779,111094.26,Retail,Returning
P010298,2022-07-15,North,Clothing,126,1070.79,1759.68,0.224,172055.64,Retail,Returning
P010299,2022-07-15,North,Electronics,111,9827.89,12446.25,0.0848,1264437.46,Retail,New
P010300,2022-07-15,North,Electronics,91,11040.4,16216.8,0.1969,1185106.25,Retail,Returning
